Model,Accuracy,Macro F1,Precision Macro,Recall Macro,Balanced Accuracy,Time Taken
LGBMClassifier,0.8285895003162556,0.6378206577266502,0.776539214511167,0.6086008277740649,0.6086008277740649,0.6432256698608398
RandomForestClassifier,0.8184693232131562,0.5659890952139639,0.7588766788766789,0.5619966062969527,0.5619966062969527,1.760721206665039
BaggingClassifier,0.7950664136622391,0.556187122175526,0.6659447729709168,0.545161482586875,0.545161482586875,0.932222843170166
BernoulliNB,0.7710309930423782,0.5543928109118026,0.568306447901825,0.5525466027271347,0.5525466027271347,0.029077529907226562
LinearDiscriminantAnalysis,0.7982289690069576,0.5497030123815788,0.8543093169817748,0.5445914682669528,0.5445914682669528,0.053090810775756836
ExtraTreesClassifier,0.8058191018342821,0.5454181959117268,0.611165478227628,0.5469506512613137,0.5469506512613137,0.830092191696167
AdaBoostClassifier,0.8108791903858318,0.5379516656509044,0.530383374150829,0.5459391475160394,0.5459391475160394,0.5576155185699463
KNeighborsClassifier,0.7862112586970272,0.5376814617778473,0.5812974134279162,0.5303913797171479,0.5303913797171479,1.5496854782104492
LabelSpreading,0.7463630613535737,0.5357089251152529,0.5431765155935014,0.5304047887203145,0.5304047887203145,3.6976256370544434
LabelPropagation,0.74573055028463,0.5353000350155009,0.5426565446446162,0.5300691056051753,0.5300691056051753,2.7897558212280273
NearestCentroid,0.6925996204933587,0.5316761845963883,0.566855452759878,0.5736191202995418,0.5736191202995418,0.03486227989196777
SVC,0.8020240354206198,0.5290235325097034,0.5257461125919106,0.5339968900502391,0.5339968900502391,2.3807873725891113
LinearSVC,0.7988614800759013,0.5272782962608885,0.5220525900374181,0.5334773054911586,0.5334773054911586,0.16759729385375977
LogisticRegression,0.7975964579380139,0.5267473927018759,0.520491555909656,0.5336750625233418,0.5336750625233418,0.13103199005126953
CalibratedClassifierCV,0.7975964579380139,0.5264481968824474,0.5209874832402812,0.5328059392608799,0.5328059392608799,0.4518115520477295
SGDClassifier,0.7950664136622391,0.525933227050116,0.5175379767721606,0.5346499920960167,0.5346499920960167,0.10628318786621094
RidgeClassifier,0.7969639468690702,0.5255884187476362,0.5202196085302728,0.5318908406374326,0.5318908406374326,0.02467489242553711
RidgeClassifierCV,0.7969639468690702,0.5255884187476362,0.5202196085302728,0.5318908406374326,0.5318908406374326,0.0603489875793457
DecisionTreeClassifier,0.7216951296647691,0.523905677086013,0.5269707363340829,0.5215895314045782,0.5215895314045782,0.14830851554870605
PassiveAggressiveClassifier,0.7109424414927261,0.49469827988811016,0.5064817093954072,0.49248582249834927,0.49248582249834927,0.042943477630615234
Perceptron,0.7375079063883618,0.49075142292712676,0.4816376738211912,0.5017851665851076,0.5017851665851076,0.03680753707885742
ExtraTreeClassifier,0.7014547754585705,0.48595856814151017,0.4846654160944182,0.48765827218409924,0.48765827218409924,0.0294034481048584
GaussianNB,0.523719165085389,0.4306853308487142,0.5927394996290848,0.5484399781356527,0.5484399781356527,0.023727893829345703
DummyClassifier,0.6280834914611005,0.25718725718725716,0.20936116382036685,0.3333333333333333,0.3333333333333333,0.02117466926574707
QuadraticDiscriminantAnalysis,0.1859582542694497,0.22312021761699527,0.5657732280633702,0.44447831620479183,0.44447831620479183,0.03985285758972168
