Feature,Mean_Abs_SHAP_C,Mean_Abs_SHAP_CL,Mean_Abs_SHAP_D,Mean_Global_SHAP
N_Days,0.3536924748229703,0.34600896679390447,0.22172169438224024,0.3071410453330383
Age,0.08100350304188741,0.4801299082246016,0.31171683898560665,0.2909500834173652
BAR,0.5891291252814395,0.15569833719356285,0.06946972007553504,0.27143239418351245
Prothrombin,0.15306460741417616,0.0950611108391963,0.42166677199339764,0.22326416341559005
Copper,0.19346172283566304,0.2536054669626103,0.15668613923589061,0.20125110967805468
SGOT,0.13953761528562308,0.23341012003365283,0.11747059208460171,0.16347277580129255
Alk_Phos,0.056270879220249655,0.14469852330430935,0.23998365960775758,0.1469843540441055
Platelets,0.08520573558535802,0.195137287665347,0.1593914735657481,0.1465781656054844
Bilirubin,0.07706673780762552,0.1708350416968983,0.07577747072829949,0.1078930834109411
Tryglicerides,0.08772024816820952,0.154839076855735,0.07381064724005659,0.1054566574213337
